,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
2210,IN THE NAME OF HONOR,Richard North Patterson,Holt,"An Iraq veteran shoots his commanding officer, who was married to a family friend.",11,1,IN+THE+NAME+OF+HONOR
2213,THE THOUSAND AUTUMNS OF JACOB DE ZOET,David Mitchell,Random House,Forbidden love in Edo-era Japan.,11,3,THE+THOUSAND+AUTUMNS+OF+JACOB+DE+ZOET
2220,THE SEARCH,Nora Roberts,Putnam,"The only survivor of a serial killer has found peace in the Pacific Northwest, but her life is shaken by the appearance of a new man and a copycat murderer.",1,6,THE+SEARCH
2223,SIZZLING SIXTEEN,Janet Evanovich,St. Martin’s,The bounty hunter Stephanie Plum comes to the aid of a cousin with gambling debts.,1,8,SIZZLING+SIXTEEN
2229,THE ISLAND,Elin Hilderbrand,"Reagan Arthur/Little, Brown","A woman, her daughters and her sister take refuge from life’s complications on a tiny island near Nantucket, but their time there is far from quiet.",10,2,THE+ISLAND
2234,UNDEAD AND UNFINISHED,MaryJanice Davidson,Berkley Sensation,"Betsy Taylor, a suburban vampire queen, makes a deal with the Devil that involves traveling to hell with her kid sister.",15,1,UNDEAD+AND+UNFINISHED
2235,WHIPLASH,Catherine Coulter,Putnam,The F.B.I. agents Dillon Savich and Lacey Sherlock help investigate misdeeds at a pharmaceutical company.,12,3,WHIPLASH
2238,STILL MISSING,Chevy Stevens,St. Martin’s,A woman tries to piece her shattered life back together after a year’s captivity in a remote mountain cabin.,19,0,STILL+MISSING
2241,FLY AWAY HOME,Jennifer Weiner,Atria,"
A senator’s extramarital affair affects his wife and daughters.",10,6,FLY+AWAY+HOME
2245,THE GLASS RAINBOW,James Lee Burke,Simon & Schuster,A man with ties to an evil ex-convict and best-selling author is dating the Louisiana detective Dave Robicheaux’s daughter.,14,5,THE+GLASS+RAINBOW
2247,FAITHFUL PLACE,Tana French,Viking,"Twenty-two years after a Dublin woman stood up her intended groom, her abandoned suitcase is discovered.",14,2,FAITHFUL+PLACE
2249,LIVE TO TELL,Lisa Gardner,Bantam,"
The investigation of a Boston family murder leads Detective D. D. Warren to a pediatric psychiatric ward.",10,2,LIVE+TO+TELL
2256,DEAD IN THE FAMILY,Charlaine Harris,Ace,The telepathic waitress Sookie Stackhouse struggles with the fallout from the brief but deadly Fae War.,1,9,DEAD+IN+THE+FAMILY
2257,RULES OF BETRAYAL,Christopher Reich,Doubleday,,18,0,RULES+OF+BETRAYAL
2259,FAMILY TIES,Danielle Steel,Delacorte,"A woman who raised her sister’s three children must juggle their needs, her business and the new man in her life.",13,3,FAMILY+TIES
2260,THE REMBRANDT AFFAIR,Daniel Silva,Putnam,The art restorer and assassin Gabriel Allon discovers that there are deadly secrets behind a stolen painting.,1,6,THE+REMBRANDT+AFFAIR
2263,FLY AWAY HOME,Jennifer Weiner,Atria,"

A senator’s extramarital affair affects his wife and daughters.",10,6,FLY+AWAY+HOME
2265,THE SEARCH,Nora Roberts,Putnam,"The only survivor of a serial killer has found peace, but her life is shaken by a new man and a copycat murderer.",1,6,THE+SEARCH
2267,THE GLASS RAINBOW,James Lee Burke,Simon & Schuster,A man with ties to an evil ex-convict is dating the Louisiana detective Dave Robicheaux’s daughter.,14,5,THE+GLASS+RAINBOW
2271,THE OLD REPUBLIC: FATAL ALLIANCE,Sean Williams,LucasBooks,"The Jedi and the Sith must join forces to stop a threat to the galaxy; a ""Star Wars"" novel.",12,2,THE+OLD+REPUBLIC:+FATAL+ALLIANCE
2274,LIVE TO TELL,Lisa Gardner,Bantam,The investigation of a Boston family murder leads Detective D. D. Warren to a pediatric psychiatric ward.,10,2,LIVE+TO+TELL
2276,ICE COLD,Tess Gerritsen,Ballantine,A Boston medical examiner finds herself in a deadly situation while on a Wyoming ski trip; a Rizzoli and Isles novel.,10,3,ICE+COLD
2278,SHADOW ZONE,Iris Johansen and Roy Johansen,St. Martin's Press,,19,0,SHADOW+ZONE
2279,A DOG'S PURPOSE,W Bruce Cameron,Forge,,20,0,A+DOG%27S+PURPOSE
2281,STAR ISLAND,Carl Hiaasen,Knopf,A paparazzo attempting to kidnap a drug-addled pop star grabs her stunt double by mistake.,10,7,STAR+ISLAND
2284,FLY AWAY HOME,Jennifer Weiner,Atria,A senator’s extramarital affair affects his wife and daughters.,10,6,FLY+AWAY+HOME
2290,SUPER SAD TRUE LOVE STORY,Gary Shteyngart,Random House,A tender but doomed love affair in a future America on the verge of collapse.,11,3,SUPER+SAD+TRUE+LOVE+STORY
2291,QUEEN OF THE NIGHT,J A Jance,William Morrow/HarperCollins,"A retired Arizona detective, his wife and their adopted Indian daughter attempt to solve murders.",12,1,QUEEN+OF+THE+NIGHT
2295,WAKING THE WITCH,Kelley Armstrong,Dutton,Book 11 of the Women of the Otherworld series.,16,1,WAKING+THE+WITCH
2298,FAITHFUL PLACE,Tana French,Viking,"Frank Mackey, a tough-minded detective, goes back to his old neighborhood in Dublin to resolve the 22-year-old mystery of his sweetheart’s disappearance.",14,2,FAITHFUL+PLACE
2299,THE COOKBOOK COLLECTOR,Allegra Goodman,Dial,,20,0,THE+COOKBOOK+COLLECTOR
2301,THE RED QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,"More intrigue during the War of the Roses, centered on Margaret Beaufort, the mother of Henry VII; by the author of “The Other Boleyn Girl.”",12,5,THE+RED+QUEEN
2307,DEATH’S EXCELLENT VACATION,edited  Charlaine Harris and Toni L P Kelner,Ace,"A collection of tales of paranormal holidays, including a new Sookie Stackhouse story.",8,1,DEATH%27S+EXCELLENT+VACATION
2310,HANGMAN,Faye Kellerman,Morrow/HarperCollins,Decker and Lazarus investigate the disappearance of a professional killer’s wife and a nurse’s gruesome murder.,11,1,HANGMAN
2311,BURN,Nevada Barr,Minotaur,"Anna Pigeon, on leave from the National Park Service, moves to New Orleans.",1,5,BURN
2314,SCARLET NIGHTS,Jude Deveraux,Atria,"In Edilean, Va., a woman’s engagement falls apart when she discovers that her fiancé’s mother is a notorious criminal.",15,1,SCARLET+NIGHTS
2317,THE LION,Nelson DeMille,Grand Central,"John Corey, a federal agent, pursues Asad Khalil — the notorious Libyan terrorist known as the Lion — who has returned to America bent on revenge.",10,8,THE+LION
2318,THE PASSAGE,Justin Cronin,Ballantine,"Over a hundred years in the future, a small group resists vampires who have taken over North America.",11,8,THE+PASSAGE
2319,IN HARM'S WAY,Ridley Pearson,Putnam,,20,0,IN+HARM%27S+WAY
2321,TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,A private investigator pursues a deranged killer who is stalking the daughter he never knew.,13,4,TOUGH+CUSTOMER
2324,VEIL OF NIGHT,Linda Howard,Ballantine,There are many suspects when a bridezilla is murdered.,14,2,VEIL+OF+NIGHT
2325,THE VIGILANTES,W E B Griffin and William E Butterworth IV,Putnam,Members of the Philadelphia Police Department are plagued by vigilante groups.,13,3,THE+VIGILANTES
2326,THE RED QUEEN,Philippa Gregory,Touchstone/Simon & Schuster,More intrigue during the War of the Roses; by the author of “The Other Boleyn Girl.”,12,5,THE+RED+QUEEN
2332,DEATH ON THE D-LIST,Nancy Grace,Hyperion,Fading celebrities who appear on Hailey Dean’s TV show are being murdered.,13,1,DEATH+ON+THE+D-LIST
2333,CURE,Robin Cook,Putnam,"
A New York City medical examiner attempts to figure out whether a Japanese biotech researcher has died naturally or been murdered.",14,1,CURE
2340,THE POSTCARD KILLERS,James Patterson and Liza Marklund,"Little, Brown","An N.Y.P.D. detective joins a Swedish reporter in a search for the killer of young couples in Europe, including his daugher and her boyfriend.",1,6,THE+POSTCARD+KILLERS
2343,THE COBRA,Frederick Forsyth,Putnam,A former C.I.A. operative is unleashed on the cocaine industry.,11,4,THE+COBRA
2345,TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,A private investigator pursues a deranged killer.,13,4,TOUGH+CUSTOMER
2346,THREE STATIONS,Martin Cruz Smith,Simon & Schuster,Inspector Arkady Renko faces corrupt Russian capitalists and bureaucrats.,10,2,THREE+STATIONS
2348,LAST NIGHT AT CHATEAU MARMONT,Lauren Weisberger,Atria,A woman is challenged when her musician husband suddenly becomes a star.,13,2,LAST+NIGHT+AT+CHATEAU+MARMONT
2350,CROSSFIRE,Dick Francis and Felix Francis,Putnam,"An injured British soldier returns from Afghanistan to help his mother, a horse trainer, identify a blackmailer.",11,2,CROSSFIRE
2355,I'D KNOW YOU ANYWHERE,Laura Lippman,Morrow/HarperCollins,A man who kidnapped a 15-year-old girl contacts her from death row years later.,11,3,I%27D+KNOW+YOU+ANYWHERE
2356,THE LAST LIE,Stephen White,Dutton,,17,0,THE+LAST+LIE
2359,TEMPTED BY TROUBLE,Eric Jerome Dickey,Dutton,,20,0,TEMPTED+BY+TROUBLE
2361,THE POSTCARD KILLERS,James Patterson and Liza Marklund,"Little, Brown","An N.Y.P.D. detective joins a Swedish reporter in a search for the killer of young couples in Europe, including his daughter and her boyfriend.",1,6,THE+POSTCARD+KILLERS
2362,SPIDER BONES,Kathy Reichs,Scribner,Temperance Brennan investigates the case of a man who seems to have died twice.,13,3,SPIDER+BONES
2364,BEARERS OF THE BLACK STAFF (LEGENDS OF SHANNARA),Terry Brooks,Del Rey/Ballantine,The denizens of a valley are left vulnerable when their protective layer of magic disappears.,14,2,BEARERS+OF+THE+BLACK+STAFF+(LEGENDS+OF+SHANNARA)
2373,JULIET,Anne Fortier,Ballantine,A woman digging into her Italian roots is surprised by what she learns.,14,1,JULIET
2377,PRIVATE: #1 SUSPECT,James Patterson and Maxine Paetro,"Little, Brown","When his former lover is found murdered, Jack Morgan, a former Marine and the head of an investigative firm, becomes the prime suspect.",1,8,PRIVATE:+#1+SUSPECT
2380,FREEDOM,Jonathan Franzen,"Farrar, Straus & Giroux",A family of Midwestern liberals during the Bush years; by the author of “The Corrections.”,1,9,FREEDOM
2382,DARK PERIL,Christine Feehan,Berkley,A Dragonseeker on a deadly mission; a Carpathian novel.,10,2,DARK+PERIL
2383,LOST EMPIRE,Clive Cussler with Grant Blackwood,Putnam,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, pursue an important relic.",11,4,LOST+EMPIRE
2386,THE WAY OF KINGS,Brandon Sanderson,Tor/Tom Doherty,"In the first book of a new series, the Stormlight Archive, war ravages the world of Roshar.",11,2,THE+WAY+OF+KINGS
2388,BODY WORK,Sara Paretsky,Putnam,V. I. Warshawski probes the death of a club patron.,19,1,BODY+WORK
2395,MAYBE THIS TIME,Jennifer Crusie,St. Martin’s,"A woman’s ex-husband schemes to get her back, employing kids and ghosts.",16,1,MAYBE+THIS+TIME
2402,NO MERCY,Sherrilyn Kenyon,St. Martin’s,Book 19 of the Dark-Hunter paranormal series.,16,3,NO+MERCY
2403,GETTING TO HAPPY,Terry McMillan,Viking,"Revisiting the four women from “Waiting to Exhale,” 15 years later.",11,6,GETTING+TO+HAPPY
2407,APE HOUSE,Sara Gruen,Spiegel & Grau,"Bonobos disappear from a research laboratory and turn up on reality TV, to the consternation of a scientist who studies them; from the author of “Water for Elephants.”",13,3,APE+HOUSE
2408,ZERO HISTORY,William Gibson,Putnam,Several characters from “Spook Country” return to a viral marketing and coolhunting agency; from the author of “Pattern Recognition” and “Neuromancer.”,15,2,ZERO+HISTORY
2411,THE HIGH KING OF MONTIVAL,S M Stirling,Roc,"
Further adventures in a postapocalyptic America, set in what used to be the Pacific Northwest.",12,1,THE+HIGH+KING+OF+MONTIVAL
2416,DEXTER IS DELICIOUS,Jeff Lindsay,Doubleday,,17,0,DEXTER+IS+DELICIOUS
2417,TOUGH CUSTOMER,Sandra Brown,Simon & Schuster,"The private investigator Dodge Hanley heads to Texas to save a daughter he has never met, who has become the object of a stalker’s desire.",13,4,TOUGH+CUSTOMER
2420,SAFE HAVEN,Nicholas Sparks,Grand Central,The arrival of a mysterious young woman in a small North Carolina town raises questions about her past.,1,9,SAFE+HAVEN
2422,WICKED APPETITE,Janet Evanovich,St. Martin’s,A dangerous man needs Elizabeth Tucker’s help to find an ancient power source.,11,3,WICKED+APPETITE
2428,WARLORD,Ted Bell,Morrow/HarperCollins,The counterspy Alex Hawke races to stop a madman from murdering the British royal family.,13,2,WARLORD
2429,ROOM,Emma Donoghue,"Little, Brown",A mother’s prison is her young son’s entire world.,10,9,ROOM
2431,HER DAUGHTER'S DREAM,Francine Rivers,Tyndale House,"Love between generations of women; the conclusion to ""Her Mother’s Hope.""",12,1,HER+DAUGHTER%27S+DREAM
2433,A SECRET KEPT,Tatiana de Rosnay,St. Martin’s,A family revelation upsets the life of a Parisian architect.,14,1,A+SECRET+KEPT
2440,FREEDOM,Jonathan Franzen,"Farrar, Straus & Giroux","A family of Midwestern liberals during the Bush years; by the author of ""The Corrections.""",1,9,FREEDOM
2443,BAD BLOOD,John Sandford,Putnam,Virgil Flowers is summoned to investigate a monstrous multigenerational conspiracy.,11,4,BAD+BLOOD
2444,MINI SHOPAHOLIC,Sophie Kinsella,Dial,Keeping a surprise party on budget has domestic perils.,15,2,MINI+SHOPAHOLIC
2447,THE FALL,Guillermo del Toro and Chuck Hogan,Morrow/HarperCollins,A war erupts between Old and New World vampires. Book 2 of the Strain trilogy.,18,1,THE+FALL
2449,SANTA FE EDGE,Stuart Woods,Putnam,A murder in a golfer’s hacienda brings Ed Eagle a new client.,10,1,SANTA+FE+EDGE
2450,GETTING TO HAPPY,Terry McMillan,Viking,"Revisiting the four women from “Waiting to Exhale,"" 15 years later.",11,6,GETTING+TO+HAPPY
2451,THE POSTCARD KILLERS,James Patterson and Liza Marklund,"Little, Brown",An N.Y.P.D. detective and a Swedish reporter search for the killer of young couples.,1,6,THE+POSTCARD+KILLERS
2457,MUHAMMAD,Deepak Chopra,HarperOne,,18,0,MUHAMMAD
2459,A SECRET KEPT,Tatiana de Rosnay,St. Martin’s,"A Parisian brother and sister return to the island of their childhood summers, triggering a deeply disturbing memory.",14,1,A+SECRET+KEPT
2460,FALL OF GIANTS,Ken Follett,Dutton,Five interrelated families from five countries are caught in the upheavals of World War I and the Russian Revolution. Book 1 of the Century trilogy.,1,9,FALL+OF+GIANTS
2461,DON’T BLINK,James Patterson and Howard Roughan,Little Brown,"After a gruesome murder in a New York steak house, a reporter finds himself involved in a war between the Italian mob and the Russian mafia.",11,5,DON%27T+BLINK
2464,SQUIRREL SEEKS CHIPMUNK,David Sedaris,Little Brown,The humorist looks at human nature through stories with animals as characters.,10,9,SQUIRREL+SEEKS+CHIPMUNK
2466,NAKED HEAT,Richard Castle,Hyperion,Nikki Heat’s latest murder investigation is complicated by a reunion with the journalist Jameson Rook.,16,2,NAKED+HEAT
2467,LEGACY,Danielle Steel,Delacorte,"A writer’s stunning family discovery leads to Paris, the French aristocracy and a mysterious Sioux ancestor.",12,2,LEGACY
2473,CALL ME MRS. MIRACLE,Debbie Macomber,Mira,"Working in the toy section of a department store, Emily Merkle is called upon to engineer some Christmas miracles.",14,1,CALL+ME+MRS.+MIRACLE
2475,SANTA FE EDGE,Stuart Woods,Putnam,A puzzling murder in a golfer’s hacienda brings a new client for the take-no-prisoners Santa Fe lawyer Ed Eagle.,10,1,SANTA+FE+EDGE
2476,THE FORT,Bernard Cornwell,Harper,,17,0,THE+FORT
2478,THE POSTCARD KILLERS,James Patterson and Liza Marklund,"Little, Brown",A New York City police detective and a Swedish reporter search for a killer preying on young couples in Europe.,1,6,THE+POSTCARD+KILLERS
2479,OUT OF THE DARK,David Weber,Tor,,20,0,OUT+OF+THE+DARK
2480,THE REVERSAL,Michael Connelly,"Little, Brown",The defense lawyer Mickey Haller and the L.A.P.D. detective Harry Bosch join forces against a child-killer.,1,4,THE+REVERSAL
2481,FALL OF GIANTS,Ken Follett,Dutton,Five interrelated families from five countries are caught in the upheavals of World War I and the Russian Revolution.,1,9,FALL+OF+GIANTS
2485,SQUIRREL SEEKS CHIPMUNK,David Sedaris,"Little, Brown",The humorist looks at human nature through stories with animals as characters.,10,9,SQUIRREL+SEEKS+CHIPMUNK
2486,DON’T BLINK,James Patterson and Howard Roughan,"Little, Brown",A reporter finds himself involved in a war between the Italian mob and the Russian mafia.,11,5,DON%27T+BLINK
2487,PAINTED LADIES,Robert B Parker,Putnam,Spenser’s latest assignment is to provide protection during the ransoming of a stolen painting.,11,2,PAINTED+LADIES
2488,PROMISE ME,Richard Paul Evans,Simon & Schuster,"On Christmas Day, a woman with family problems meets a handsome, mysterious stranger.",14,2,PROMISE+ME
2492,GAUNTLGRYM,R A Salvatore,Wizards of the Coast,A pair of drow and dwarf treasure seekers set off a catastrophe that could spell disaster for the city of Neverwinter.,13,1,GAUNTLGRYM
2493,GETTING TO HAPPY,Terry McMillan,Viking,"Revisiting the four women from “Waiting to Exhale.""",11,6,GETTING+TO+HAPPY
