,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
13,TWENTY WISHES,Debbie Macomber,Mira,A widow who owns a bookstore on Blossom Street compiles a list of things she always wanted to do.,14,4,TWENTY+WISHES
14,THE STEEL WAVE,Jeff Shaara,Ballantine,A novel about the Allied invasion in France in World War II.,15,2,THE+STEEL+WAVE
15,EXECUTIVE PRIVILEGE,Phillip Margolin,HarperCollins Publishers,,16,0,EXECUTIVE+PRIVILEGE
16,UNACCUSTOMED EARTH,Jhumpa Lahiri,Knopf,Stories of the anxiety and transformation experienced by Bengalis in America.,17,0,UNACCUSTOMED+EARTH
17,NETHERLAND,Joseph O'Neill,Knopf Publishing Group,A Dutchman deserted by his wife after 9/11 finds solace in New York’s immigrant cricket scene.,18,0,NETHERLAND
18,THE APPEAL,John Grisham,Doubleday Publishing,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,16,0,THE+APPEAL
19,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL,James Rollins,Random House Publishing Group,,20,0,INDIANA+JONES+AND+THE+KINGDOM+OF+THE+CRYSTAL+SKULL
20,BLOOD NOIR,Laurell K Hamilton,Berkley,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,1,4,BLOOD+NOIR
23,LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman’s happy marriage is shaken when she encounters an old boyfriend.,10,9,LOVE+THE+ONE+YOU%27RE+WITH
24,SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,"Little, Brown",A woman finds an unexpected love.,10,8,SUNDAYS+AT+TIFFANY%27S
25,CHASING HARRY WINSTON,Lauren Weisberger,Simon & Schuster,"Three glamorous friends, New York women nearing 30, vow to change their lives.",10,9,CHASING+HARRY+WINSTON
26,THE FRONT,Patricia Cornwell,Putnam,A Massachusetts state investigator and his team from “At Risk” confront a rogue association of municipal police departments.,14,3,THE+FRONT
27,DEVIL MAY CARE,Sebastian Faulks,Doubleday,This continuation of the James Bond franchise finds Bond tracking a dangerous pharmaceutical executive amid cold war tensions with the help of a beautiful girl.,11,3,DEVIL+MAY+CARE
29,SNUFF,Chuck Palahniuk,Doubleday,An aging porn queen aims to cap her career by having sex on film with 600 men in one day.,10,3,SNUFF
30,SHADOW OF POWER,Steve Martini,Morrow,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,11,2,SHADOW+OF+POWER
31,CARELESS IN RED,Elizabeth George,Harper,"In Cornwall, trying to recover from his wife’s death, Detective Thomas Lynley becomes involved in a murder investigation.",12,4,CARELESS+IN+RED
34,INVINCIBLE,Troy Denning,Del Rey/Ballantine,"The New Jedi order battles Darth Caedus, Darth Vader’s grandson; a “Star Wars: Legacy of the Force” novel.",11,3,INVINCIBLE
36,BLUE SMOKE AND MURDER,Elizabeth Lowell,HarperCollins Publishers,,17,0,BLUE+SMOKE+AND+MURDER
38,THE ENCHANTRESS OF FLORENCE,Salman Rushdie,Random House Publishing Group,,18,0,THE+ENCHANTRESS+OF+FLORENCE
40,NOTHING TO LOSE,Lee Child,Delacorte,Jack Reacher exposes the secrets of a Colorado town.,1,5,NOTHING+TO+LOSE
42,PLAGUE SHIP,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,13,4,PLAGUE+SHIP
48,DEATH AND HONOR,W E B Griffin and William E Butterworth IV,Putnam,A Marine pilot spies in  Argentina in 1943; the fourth book in the Honor Bound series.,11,2,DEATH+AND+HONOR
49,SNUFF,Chuck Palahniuk,Doubleday,An aging porn queen aims to have sex on film with 600 men.,10,3,SNUFF
50,DEVIL MAY CARE,Sebastian Faulks,Doubleday,James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.,11,3,DEVIL+MAY+CARE
55,THE SPIES OF WARSAW,Alan Furst,Random House,Intrigue in Poland just before World War II.,16,1,THE+SPIES+OF+WARSAW
56,THE GARDEN OF LAST DAYS,Andre Dubus,"Norton & Company, Incorporated, W. W.",,17,0,THE+GARDEN+OF+LAST+DAYS
58,RESOLUTION,Robert B Parker,Penguin Group (USA) Incorporated,,19,0,RESOLUTION
60,SAIL,James Patterson and Howard Roughan,"Little, Brown",A sailing vacation turns into a disaster when someone attempts to destroy a family.,1,9,SAIL
66,THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,12,4,THE+BROKEN+WINDOW
68,MARRIED LOVERS,Jackie Collins,St. Martin’s,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,13,2,MARRIED+LOVERS
70,DEATH AND HONOR,W E B Griffin and William E Butterworth IV,Putnam,A Marine pilot spies in Argentina in 1943; the fourth book in the Honor Bound series.,11,2,DEATH+AND+HONOR
73,THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A young mute who can communicate with dogs his family raises takes refuge with three of them in the Wisconsin woods after his uncle murders his father.,1,9,THE+STORY+OF+EDGAR+SAWTELLE
78,THE BRIEF WONDROUS LIFE OF OSCAR WAO,Junot Díaz,Riverhead,A nerdy Dominican-American struggles to escape a family curse.,19,0,THE+BRIEF+WONDROUS+LIFE+OF+OSCAR+WAO
80,FEARLESS FOURTEEN,Janet Evanovich,St. Martin’s,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,1,7,FEARLESS+FOURTEEN
84,LOVE THE ONE YOU'RE WITH,Emily Giffin,St. Martin’s,A woman’s happy marriage is shaken.,10,9,LOVE+THE+ONE+YOU%27RE+WITH
87,THE BROKEN WINDOW,Jeffery Deaver,Simon & Schuster,Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.,12,4,THE+BROKEN+WINDOW
88,THE STORY OF EDGAR SAWTELLE,David Wroblewski,Ecco,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,1,9,THE+STORY+OF+EDGAR+SAWTELLE
89,NO CHOICE BUT SEDUCTION,Johanna Lindsey,Pocket Books,"Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.",10,1,NO+CHOICE+BUT+SEDUCTION
90,THE BEACH HOUSE,Jane Green,"Viking, $24.95",A woman’s life changes when she rents out rooms in her Nantucket house.,10,6,THE+BEACH+HOUSE
